subject_ID	age	SCORE_scale
sub0	60	47.5577002899088
sub1010	37	33.9671604553715
sub1012	49.02	46.4931882169873
sub102	24	25.5906065433644
sub1023	45.39	53.9826052769975
sub1030	49.4	39.9247626054497
sub1031	59.15	58.0180950517178
sub1033	31	29.9613704320434
sub1039	21	26.4330679429886
sub1050	82	65.1194959676144
sub1052	20	23.1138111050693
sub1055	55.09	56.4160528689335
sub1056	25.93	33.1467590146738
sub106	63.1	67.8308276669468
sub1063	27	29.8799523994962
sub1085	21	22.0892031838526
sub1090	58	55.5990912888584
sub1094	22	26.0794946473504
sub1102	27	20.5838104096449
sub1104	21	18.2753336909026
sub1109	31	30.1792625736369
sub1118	45	53.9240054216566
sub1119	23	28.4022115942374
sub112	69.29	66.4936845908913
sub1124	31.15	28.6730294841409
sub1134	23	35.0427449777952
sub1149	38	40.5123753401643
sub1177	26	32.0352833310719
sub1182	35	32.8270026801743
sub1183	24	31.9767019318755
sub1184	22	26.3946622406934
sub119	25	25.4354130695866
sub1192	26	26.4536695670096
sub1197	80.8	83.5476126491155
sub1199	25.58	28.3544972807325
sub1207	24	22.783830448587
sub1208	54	54.5422584814227
sub1214	21	19.3231159038737
sub1227	46	52.5893698787688
sub1232	22	15.8435117552871
sub1234	36	33.2236836661407
sub1237	64.19	65.6094953325527
sub1239	33	28.3443458159436
sub124	37.77	35.1421095504874
sub1250	23	21.5843363982744
sub1259	48	37.0162356059485
sub126	22	21.8855599560763
sub1266	22	26.393496810012
sub1277	21	21.5572845240672
sub1279	29.82	34.3122667387258
sub1294	22	20.4924815333836
sub1320	54	58.90523231474
sub1329	22	23.2804023542186
sub1337	53	53.9323730831048
sub134	22	24.4221508410941
sub1353	23	21.980456560051
sub1370	23	22.1167582243677
sub1380	57	40.8317657494586
sub1384	56.96	52.8278630719812
sub1387	23	23.6637410924379
sub1402	44	54.3767102439374
sub1410	22	29.546483256509
sub1421	25	22.6647593267227
sub1445	37	39.7214005204232
sub1446	21	25.6741921680189
sub1454	47	44.1763938591236
sub1457	24	31.587069019895
sub146	28	29.7284356123152
sub147	19	21.8432754492761
sub1472	43	36.6135083094763
sub1475	23	28.7641994509624
sub148	26	29.4742062384145
sub1494	37	40.9747207107129
sub1506	29	26.8162783218603
sub1510	21	21.4376654852762
sub1512	32	35.8623456924802
sub1519	86.32	81.9595993103031
sub1522	29	27.8657935890836
sub1523	65.88	60.9995552173754
sub1524	48	61.3309974049517
sub1531	39	24.7864267076339
sub1539	24	23.9772786293159
sub154	21	19.8115151839085
sub1547	25	28.2592764585913
sub1560	20	22.8520470900637
sub1577	22	21.8425576227324
sub1581	43	39.3583275860457
sub1582	44	41.7790585094084
sub1586	28	23.2991149332808
sub1593	59	50.0506008885489
sub1598	25	28.1197388894415
sub1602	22	26.1895357265517
sub1610	66.37	52.6904321998649
sub1615	40	36.0229366388088
sub162	42	40.2010259650001
sub1621	38	40.800488963066
sub1632	23	28.2569069289943
sub1634	27	24.1163425381372
sub164	24	16.6253438151248
sub165	22	18.9579965031082
sub1655	28.48	19.4560490315873
sub1659	23	22.9419947013648
sub1660	23	26.858799393678
sub1671	27	30.9038863029654
sub169	40	42.5163032859797
sub1690	23	25.8781277365585
sub1709	23	28.7696740722752
sub1713	37	38.3951506235394
sub1714	46	43.016683220113
sub1726	85	79.6436952176805
sub1732	22.1054	23.546840794911
