subject_ID	age	score_scaleQuant
sub1	26	26.9231073446328
sub1003	21	24
sub1004	28	31
sub1009	62	61
sub1024	19	25
sub1026	37	33.2196233521658
sub104	54.74	64
sub1048	19	29
sub1049	54.19	43
sub1057	24	23
sub1059	30.7	25
sub1061	69.69	69.0527306967985
sub1064	19	23
sub1071	36	37
sub108	77	67.4388700564971
sub1082	64	63
sub1084	24	21
sub1093	26.88	34
sub11	34	26
sub110	20	20.9168549905838
sub1100	26	27
sub1106	21	22
sub1122	22	25
sub113	64.1	58.6483992467044
sub1136	29.78	25
sub1141	19	24
sub1142	62.46	68.4327118644068
sub1147	45	50
sub1159	63.4	70.650395480226
sub1161	21	26
sub1166	27	27
sub117	29	40.8733333333333
sub1188	19	20
sub1190	30	28
sub1195	43.82	44
sub1200	57.7	52
sub1203	22.57	25
sub1217	46	51.1081355932204
sub1219	55	55.103220338983
sub122	56	49
sub1233	24	23
sub1236	73.02	73.3318644067797
sub1245	19	20
sub1248	23.6769	30.93868173258
sub1252	22	20
sub1253	27	23
sub1254	55	54.1238041431262
sub1256	33	25
sub1275	41	40
sub128	20	19
sub1283	18	21
sub1295	24	24
sub1298	25	31.6078154425612
sub1303	48	43
sub1306	67.33	64.4892655367232
sub1312	50	58
sub1313	21	20
sub1316	35	24
sub1326	71	59.45
sub1330	39	40
sub1334	58.57	65.3343691148776
sub1338	65	66.9082109227872
sub1342	21	26
sub135	25.13	22
sub1355	28.81	28
sub1356	20	18
sub1357	24	23
sub136	23.6386	26
sub1378	46	42
sub1390	22	22
sub1394	24	19
sub1395	39	47
sub1398	52	36
sub1403	26	23
sub1411	25	26
sub1420	20	19
sub1422	40	50
sub1431	45	48
sub1435	32	54
sub1437	33	22
sub1442	22	21
sub1447	20	18
sub1449	24	25
sub1450	20	19
sub1474	23	21
sub1476	60.4	54
sub1480	50	46
sub1483	56	60.9059698681733
sub1484	30.66	25.019472693032
sub1488	33	44.8983804143126
sub149	46	42
sub1491	20	23
sub1492	23	25
sub1493	24	27
sub1505	25	23
sub1509	27	22
sub1520	33.76	33
sub1528	22	20
sub1535	23	22
sub1538	28	19
sub1543	26	24
sub1545	27	25
sub1548	18	18.638418079096
sub155	25.21	32
sub1555	34.29	45
sub1561	52	35
sub1565	26	25
sub1569	20	22
sub1576	65.85	63.6659133709981
sub1583	22	20
sub1594	37	49
sub1596	54.28	55.724670433145
sub1605	46	36.4192467043314
sub1611	40	34
sub1618	29.77	41.2182674199623
sub1622	55	56
sub1631	24	22
sub1637	34	39.2888512241055
sub1638	20	20
sub1639	21.911	25
sub1640	42.51	41.7230508474576
sub1649	78.58	73.7566854990584
sub1657	20	18
sub1665	23	21
sub1667	24	25
sub1675	68	72.9342372881356
sub1677	25	30
sub1683	26	19
sub1694	24	24
sub1696	55	39
sub17	53	42
sub1706	24	31
sub171	28	38
sub1715	25	20
sub172	47	44
sub1722	21	26
sub1728	30	30.1601129943503
sub1735	20	21
sub1752	67	59
sub1760	23	25
sub1782	50	49.2238983050848
sub1791	42	46
sub1794	53	66.0004896421846
sub1796	21	20
sub1798	23	28
sub180	63.04	60.6
sub1805	21	25
sub1809	46	36.7045762711865
sub1810	29	22
sub1817	73	78.5796610169488
sub182	23	27.2975141242938
sub1820	33	24
sub1828	56	55.5564218455744
sub183	30.01	33
sub1830	21	18
sub1836	27	32
sub1837	55	56.5023728813559
sub1848	22.97	23
sub1849	18	19
sub1854	30	33
sub186	39	40
sub1863	83	81
sub1866	49	47
sub187	25	21
sub1879	88	82
sub1884	21	30
sub1888	53.41	60.9870056497175
sub1895	44.99	59.9043502824859
sub1896	41	47
sub1899	55.54	58
sub1900	26	23
sub1908	26	27
sub1909	22	23
sub191	20	28.0524293785311
sub1923	27	29
sub1926	19	25.5771751412429
sub1931	64	61.240527306968
sub194	33	31
sub1942	19	22
sub1943	20	21
sub1947	19	23
sub1949	56	47
sub1951	31.96	28
sub1954	39	41
sub1956	19	19
sub1962	22	20
sub1966	43.46	51
sub1967	22	19
sub1977	20	21
sub198	22	20
sub1981	35	32.5963841807909
sub1984	28	21
sub1987	47	53.6442937853107
sub20	21	22
sub2000	61	57
sub2004	27	26
sub2012	48	43
sub202	22	27
sub2020	43	45
sub2022	50	48
sub2034	53.41	55
sub2038	46	55
sub2039	63.42	70
sub2046	50	53
sub2049	21	22
sub205	67	68.9675141242938
sub2050	23.11	23
sub2055	24	20
sub206	70.52	71
sub2064	24	28
sub2065	40	45.894802259887
sub2070	28	28
sub2071	36	37.7614124293785
sub2073	24	24
sub2078	20	22
sub2083	47.01	52
sub2097	21	20.0261016949153
sub2108	49	44
sub211	19	19
sub2118	79	69.2872316384181
sub2127	29	32
sub2135	27.73	28.3581355932203
sub2147	46.17	55
sub2153	45	43.1360451977401
sub2156	58	52
sub217	30	36
sub2195	35	42.6148210922788
sub2222	22	27
sub2225	47	49
sub2226	20	19
sub2229	34	40
sub2252	42	39
sub2257	28	21.8687847457627
sub2263	27	22
sub2264	21	30
sub2275	18	22
sub2279	22	22.8055555555555
sub2281	45	33
sub2290	26	19
sub2303	24	23.975593220339
sub2307	51	44
sub2317	27	28
sub2319	35.98	31
sub2325	24	23
sub233	30.07	21
sub2336	50	49.7981167608286
sub2341	20	23.2425423728814
sub2343	86	78
sub2346	68.51	80.8072316384181
sub2351	31.25	33.59
sub2352	46	38.8498116760829
sub2359	19	24
sub2381	30	22.4194915254237
sub2383	24	21
sub2397	31	41.0127683615819
sub2405	22	29
sub2409	30	23
sub2410	45	50
sub2414	49	54.6410734463277
sub2421	23	22
sub2422	71.21	68.1012429378531
sub2428	59.67	62.0089265536723
sub2430	19	31
sub2431	45	46
sub2435	51	51
sub2439	26	20
sub2455	24	23
sub2469	60	65
sub2484	28	29
sub2485	20	23
sub2493	22	21
sub25	52	50.1923163841808
sub2518	20	19
sub2521	65.11	63.9038983050847
sub2524	47	57
sub2543	22	21
sub2545	34.72	23
sub2551	50	42
sub2552	35	35
sub2559	53	55
sub257	21	23
sub2572	57	57.7413935969868
sub2583	74.99	85.0445951035782
sub2593	25	29
sub2595	20	22
sub2598	70.33	67
sub2602	76	88.030131826742
sub2613	25	30
sub2621	37.7	28.9019774011299
sub2622	27	35
sub2624	26	24
sub2625	22	22
sub2627	20	19
sub263	23	20
sub2635	26	21
sub2652	24	30
sub2655	30	24.2939299435028
sub2656	22	23
sub2659	29	35
sub266	33.69	33
sub2661	28	24.71
sub268	34	25
sub2690	25	24
sub2699	28.87	30
sub27	23	22
sub2703	26	24
sub2716	21	32
sub2718	42	41.906120527307
sub2719	22	28
sub2729	34.01	36
sub2731	19	19
sub2732	23	21
sub2743	35.99	41
sub2756	75.08	74
sub2764	60.02	60
sub2765	35	34
sub2773	53	43.9736346516007
sub2778	24	23
sub2787	51.29	62.8617702448211
sub2789	60.08	70.14
sub2790	27.38	25.9939359698682
sub2795	24	18
sub2797	41.33	30
sub2798	41.89	45.4541054613936
sub2811	46.58	52
sub2819	20	25
sub2824	24	31
sub2825	72.59	67.8136911487759
sub2827	35	26
sub2832	46	48
sub2836	20	21
sub2844	43	38
sub2848	24.88	23
sub2850	41	37
sub2865	59	59.1461581920904
sub2876	22	23
sub2879	52	56
sub2886	61	54
sub289	26	29
sub2895	24	26
sub2897	25	25
sub2905	23	21
sub2910	28	24
sub2918	22	19
sub2919	18	18
sub2934	72.33	72
sub2939	27	27
sub2941	18	18
sub2943	20.21	18
sub295	77	75.1898305084745
sub2962	41	49
sub2964	44	30
sub2965	56	53.2746892655367
sub2968	21	25
sub2970	20	18
sub2971	31	33
sub2976	22	22
sub2980	22	21
