participant_id	true_age	predicted_age
sub2609	41.0	46.791561126708984
sub2949	22.0	22.355854034423828
sub944	21.0	20.545608520507812
sub863	70.0	66.598388671875
sub2047	23.0	23.67168426513672
sub2535	29.0	26.50674057006836
sub2696	20.0	23.409015655517578
sub1704	28.0	26.783727645874023
sub2448	27.0	29.145437240600586
sub2122	20.0	25.113243103027344
sub1310	28.0	29.60232925415039
sub1840	49.0	46.71214294433594
sub797	21.0	24.626331329345703
sub3085	23.0	21.121871948242188
sub1894	34.0	28.236351013183594
sub2540	33.0	31.237926483154297
sub1654	22.0	21.88477897644043
sub402	62.43000030517578	58.59095001220703
sub2849	19.0	23.080310821533203
sub399	42.0	42.18519592285156
sub19	33.13999938964844	31.21665382385254
sub2937	47.0	40.98102951049805
sub1527	22.0	27.40563201904297
sub803	29.0	24.998592376708984
sub2508	34.0	35.26142883300781
sub911	29.0	27.300621032714844
sub2387	22.0	27.24734878540039
sub2754	28.0	24.234920501708984
sub3083	24.0	25.31648063659668
sub36	23.0	26.098785400390625
sub1568	33.0	25.965538024902344
sub566	47.0	38.405677795410156
sub476	70.5	65.06531524658203
sub2687	24.0	23.263408660888672
sub395	67.45999908447266	64.22420501708984
sub867	21.0	25.275943756103516
sub1525	32.0	20.142515182495117
sub2769	19.0	21.781700134277344
sub744	47.0	43.789222717285156
sub2139	29.0	30.953289031982422
sub1927	27.0	25.695316314697266
sub2640	18.0	20.873207092285156
sub1572	58.77000045776367	52.55982208251953
sub802	23.0	22.452669143676758
sub2775	24.0	26.220035552978516
sub745	43.0	39.98539733886719
sub2967	23.0	22.042213439941406
sub853	56.0	51.115089416503906
sub1653	30.0	33.10128402709961
sub2119	57.0	51.749088287353516
sub505	22.0	23.235347747802734
sub2161	24.0	23.42428207397461
sub1223	26.0	28.900585174560547
sub99	35.0	40.02988052368164
sub588	65.33000183105469	54.18194580078125
sub282	23.0	21.304292678833008
sub1408	37.0	33.83524703979492
sub1994	21.0	21.7740535736084
sub1869	80.0	80.97218322753906
