participant_id	true_age	predicted_age
sub2609	41.0	43.98936080932617
sub2949	22.0	21.795894622802734
sub944	21.0	22.079349517822266
sub863	70.0	72.21321105957031
sub2047	23.0	23.11655044555664
sub2535	29.0	24.103572845458984
sub2696	20.0	23.35083770751953
sub1704	28.0	28.43515396118164
sub2448	27.0	27.155437469482422
sub2122	20.0	24.34580421447754
sub1310	28.0	25.27737045288086
sub1840	49.0	46.34742736816406
sub797	21.0	24.28326988220215
sub3085	23.0	22.049114227294922
sub1894	34.0	31.73061752319336
sub2540	33.0	30.596759796142578
sub1654	22.0	22.443645477294922
sub402	62.43000030517578	60.133140563964844
sub2849	19.0	21.317380905151367
sub399	42.0	38.36101531982422
sub19	33.13999938964844	28.66984748840332
sub2937	47.0	47.3140754699707
sub1527	22.0	26.23568344116211
sub803	29.0	25.56899642944336
sub2508	34.0	29.821775436401367
sub911	29.0	28.48923110961914
sub2387	22.0	22.826202392578125
sub2754	28.0	23.93933868408203
sub3083	24.0	23.007686614990234
sub36	23.0	24.856407165527344
sub1568	33.0	25.17353057861328
sub566	47.0	42.923099517822266
sub476	70.5	69.49169158935547
sub2687	24.0	22.67662811279297
sub395	67.45999908447266	68.39888000488281
sub867	21.0	25.326080322265625
sub1525	32.0	22.047183990478516
sub2769	19.0	22.333545684814453
sub744	47.0	42.511775970458984
sub2139	29.0	25.557785034179688
sub1927	27.0	25.297346115112305
sub2640	18.0	21.728073120117188
sub1572	58.77000045776367	56.39844512939453
sub802	23.0	22.23289680480957
sub2775	24.0	23.56867218017578
sub745	43.0	38.20680618286133
sub2967	23.0	22.417333602905273
sub853	56.0	49.504661560058594
sub1653	30.0	29.906333923339844
sub2119	57.0	53.33043670654297
sub505	22.0	22.54035186767578
sub2161	24.0	23.538745880126953
sub1223	26.0	22.768146514892578
sub99	35.0	38.98640060424805
sub588	65.33000183105469	53.101715087890625
sub282	23.0	22.39855194091797
sub1408	37.0	28.791122436523438
sub1994	21.0	22.636436462402344
sub1869	80.0	82.11552429199219
sub2808	21.0	26.25381088256836
sub1381	22.0	23.120912551879883
sub483	54.61000061035156	55.21458435058594
sub4	28.0	28.999685287475586
sub133	28.15999984741211	33.68608474731445
sub747	20.0	22.82146453857422
sub2171	62.25	62.346405029296875
sub305	21.0	22.157516479492188
sub2026	30.0	24.803741455078125
sub1964	32.0	23.05048370361328
sub1800	44.47999954223633	38.223941802978516
sub2030	39.0	27.84054946899414
sub799	41.5099983215332	43.02082443237305
sub1150	33.0	31.842147827148438
sub2075	66.91000366210938	63.58666229248047
sub1262	23.0	22.9173526763916
sub229	29.34000015258789	24.273208618164062
sub1193	28.850000381469727	26.778297424316406
sub1324	21.0	21.647109985351562
sub3240	24.766599655151367	22.445022583007812
sub834	42.630001068115234	53.447486877441406
sub1036	18.0	22.63228988647461
sub2459	17.0	22.375078201293945
sub586	26.0	22.561038970947266
sub1702	22.0	21.3234806060791
sub2692	23.0	22.092445373535156
sub787	26.0	22.336299896240234
sub494	50.56999969482422	63.244834899902344
sub3164	63.0	51.50239944458008
sub493	38.0	37.52092742919922
sub946	18.0	21.767318725585938
sub1554	24.0	27.121875762939453
sub3126	63.84000015258789	60.48589324951172
sub694	75.0	77.91383361816406
sub1191	30.0	23.0909481048584
sub1376	20.0	21.741886138916016
sub3170	58.0	74.77593994140625
sub72	43.0	37.901859283447266
sub203	66.33000183105469	74.05455017089844
sub2801	26.0	23.245695114135742
sub695	42.0	48.04465866088867
sub913	22.43000030517578	23.229610443115234
sub3272	22.0	27.0087947845459
sub249	48.0	49.937049865722656
sub1107	43.0	38.19660949707031
sub1930	19.0	21.761051177978516
sub2162	21.0	22.482173919677734
sub407	23.0	26.504886627197266
sub391	25.0	22.798568725585938
sub334	24.0	23.94968605041504
sub137	43.0	28.662721633911133
sub3279	33.0	36.46827697753906
sub168	21.0	22.145719528198242
sub707	22.0	26.803447723388672
sub1688	19.0	22.054737091064453
sub1795	23.0	30.3699951171875
sub1903	28.0	30.500171661376953
sub294	22.530000686645508	22.693191528320312
sub831	56.0	48.94575881958008
sub1948	23.0	23.105558395385742
sub145	33.0	24.730512619018555
sub2888	33.0	40.328163146972656
sub705	35.0	30.18508529663086
sub563	21.0	23.97012710571289
sub2637	24.6200008392334	24.510841369628906
sub1463	20.0	22.522682189941406
sub209	51.0	40.66427230834961
sub291	46.0	39.979637145996094
sub1361	25.0	22.20456314086914
sub1666	51.0	53.23096466064453
sub1502	64.0	63.41905212402344
sub2400	37.0	49.57514953613281
sub3210	30.0	25.889873504638672
sub1973	24.280000686645508	33.77338790893555
sub3202	25.0	23.575803756713867
sub2057	44.0	40.872833251953125
sub2907	28.0	28.872509002685547
sub1110	62.7400016784668	74.19508361816406
sub1786	60.0	40.798683166503906
sub2141	25.0	22.56124496459961
sub1019	18.0	22.776512145996094
sub551	57.0	54.66258239746094
sub1678	35.40999984741211	35.11064910888672
sub1146	21.0	22.803878784179688
sub96	61.0	58.519325256347656
sub189	29.0	26.065248489379883
sub1198	23.0	22.926115036010742
sub2898	23.0	23.073747634887695
sub1904	20.0	21.92034912109375
sub2841	20.0	22.44369888305664
sub1222	19.0	22.570301055908203
sub3081	21.0	22.79904556274414
sub413	23.0	22.59160804748535
sub1906	28.0	22.626121520996094
sub2875	21.0	22.364124298095703
sub2770	21.3799991607666	22.99138832092285
sub2663	29.0	23.6259708404541
sub1140	29.0	30.976131439208984
sub861	55.0	45.499794006347656
sub2854	66.0199966430664	68.61203002929688
sub1674	23.0	21.751808166503906
sub2799	20.0	23.232086181640625
sub2856	22.0	22.722679138183594
sub367	83.55999755859375	82.57728576660156
sub3021	30.0	25.006576538085938
sub592	46.0	44.91529083251953
sub962	22.0	22.66995620727539
sub1887	29.0	26.238197326660156
sub1599	28.440000534057617	22.410438537597656
sub377	23.0	27.615779876708984
sub1261	72.3499984741211	77.43622589111328
sub670	77.0	67.3662109375
sub1029	21.0	22.97728157043457
sub1761	39.0	38.55657196044922
sub408	59.0	47.814208984375
sub1401	36.0	44.78492736816406
sub1043	83.45999908447266	69.47257995605469
sub756	34.369998931884766	32.82026672363281
sub1781	22.0	22.354801177978516
sub3104	59.84000015258789	61.246009826660156
sub1859	25.0	21.818431854248047
sub152	28.0	25.02653694152832
sub2471	25.0	23.415454864501953
sub2766	55.0	56.34276580810547
sub589	19.0	21.801265716552734
sub3072	20.0	22.847043991088867
sub1028	43.0	37.38671875
sub1856	22.0	22.4725284576416
sub689	58.279998779296875	58.76571273803711
sub2183	22.0	22.5908145904541
sub647	52.0	64.28846740722656
sub3149	47.0	41.15327835083008
sub1276	49.0	44.11838912963867
sub2762	22.0	24.98455047607422
sub105	19.0	22.663070678710938
sub2752	22.0	21.970046997070312
sub3246	57.0	63.41624450683594
sub1126	50.0	39.77952575683594
sub3291	51.0	47.370391845703125
sub1148	28.0	22.932891845703125
sub2361	23.0	22.771942138671875
sub2679	39.400001525878906	36.07814025878906
sub2299	30.0	31.599618911743164
sub2510	26.0	30.45458984375
sub414	67.8499984741211	63.99522399902344
sub1151	22.0	21.90824317932129
sub898	23.0	23.91668701171875
sub555	22.0	22.607177734375
sub2036	38.77000045776367	39.783687591552734
sub1002	19.0	21.98448371887207
sub1385	55.0	49.00401306152344
sub2500	18.0	26.546737670898438
sub428	19.0	22.228729248046875
sub2610	36.0	27.580867767333984
sub1857	27.0	25.03905487060547
sub153	45.0	43.253684997558594
sub2267	49.040000915527344	45.291744232177734
sub3158	24.850000381469727	23.42361831665039
sub308	47.0	45.523109436035156
sub2928	19.0	21.876779556274414
sub341	24.0	26.363542556762695
sub253	20.0	22.681257247924805
sub1542	36.0	39.18918991088867
sub473	47.0	46.47684860229492
sub1672	28.459999084472656	32.15861511230469
sub213	65.26000213623047	65.46949005126953
sub1811	50.0	50.10817337036133
sub2529	78.0	81.15847778320312
sub1041	22.0	22.660192489624023
sub2554	20.0	22.658323287963867
sub620	29.0	27.817554473876953
sub1999	19.0	21.22966766357422
sub3217	67.81999969482422	65.3663558959961
sub2777	18.0	22.76047706604004
sub2003	20.0	22.334693908691406
sub1017	51.0	48.96879959106445
sub107	39.0	34.15108871459961
sub2112	19.0	21.641101837158203
sub1711	32.29999923706055	33.25819396972656
sub3249	44.0	41.44932174682617
sub2006	50.0	42.327415466308594
sub2701	21.0	28.217025756835938
sub1862	22.0	23.444969177246094
sub817	34.0	36.25193786621094
sub1976	28.0	33.05170822143555
sub2098	20.0	22.231847763061523
