participant_id	true_age	predicted_age
sub2717	55.0	64.76607513427734
sub1075	25.0	23.979907989501953
sub1078	35.0	27.94414520263672
sub1117	22.0	27.13153839111328
sub2353	41.0	40.11837768554688
sub1174	34.0	30.862995147705078
sub2517	22.0	18.64090156555176
sub42	41.75	37.895851135253906
sub2772	40.0	47.73484802246094
sub2912	24.0	26.38055229187012
sub538	46.709999084472656	44.37542724609375
sub626	36.41999816894531	29.85686492919922
sub3254	25.0	22.73801040649414
sub3115	23.0	21.107702255249023
sub2833	49.0	45.24333190917969
sub1993	21.0	34.62140655517578
sub1574	31.899999618530273	33.316360473632805
sub1016	24.63520050048828	36.579681396484375
sub767	22.0	21.099205017089844
sub3097	25.0	19.3223819732666
sub1607	18.0	20.58083724975586
sub2867	42.0	38.08489990234375
sub3145	54.65999984741211	53.5492057800293
sub3039	31.57999992370605	30.811996459960934
sub629	26.0	33.174304962158196
sub3032	60.97000122070313	57.732826232910156
sub2415	56.0	64.39212036132811
sub3111	19.0	17.496400833129886
sub615	28.0	29.556385040283203
sub2885	27.0	35.7894172668457
sub188	55.599998474121094	49.43595886230469
sub514	26.0	31.038448333740234
sub118	25.0	27.12968444824219
sub3100	29.0	26.435827255249023
sub816	24.0	25.85307693481445
sub2104	33.59000015258789	29.965103149414066
sub1444	47.72000122070313	50.794410705566406
sub1464	31.0	28.17188835144043
sub1145	23.0	28.10538482666016
sub1662	23.0	25.821430206298828
sub3161	23.0	20.108795166015625
sub1503	67.76999664306639	66.31604766845703
sub2920	28.239999771118164	31.14431190490723
sub2172	44.0	42.616641998291016
sub2908	61.1500015258789	65.116455078125
sub1571	55.58000183105469	60.60275268554688
sub3232	22.0	23.10600662231445
sub1317	71.0	62.543861389160156
sub144	29.0	28.175912857055664
sub2282	34.0	30.96603775024414
sub1940	57.0	53.39490509033203
sub1496	21.0	21.682907104492188
sub836	31.0	37.68098449707031
sub444	19.0	28.0383358001709
sub2213	24.3799991607666	23.74552154541016
sub1006	21.0	22.325300216674805
sub2260	78.0	82.58442687988281
sub1689	59.0	50.81616592407226
sub2033	60.599998474121094	61.84759521484375
sub2028	55.0	55.85841369628906
sub274	25.0	23.643653869628906
sub1601	22.0	26.691059112548828
sub448	28.0	27.453527450561523
sub1210	35.0	33.422420501708984
sub77	65.0	66.97996520996094
sub8	18.0	23.123798370361328
sub2433	41.0	35.323429107666016
sub2979	90.0	78.81256866455078
sub994	24.0	30.045146942138672
sub242	54.0	52.82389831542969
sub2463	54.0	40.17145156860352
sub3011	71.0	58.60862731933594
sub2190	23.0	23.290754318237305
sub668	22.0	33.057418823242195
sub375	23.0	31.01347923278809
sub1270	19.0	21.429561614990234
sub2555	28.0	29.434932708740234
sub2668	29.0	27.022350311279297
sub2375	29.0	31.298118591308594
sub1996	24.0	20.85981750488281
sub1851	23.0	21.22329330444336
sub719	27.0	34.521026611328125
sub1625	82.0	70.57269287109375
sub2265	57.86000061035156	65.45938110351561
sub1321	25.0	24.71977615356445
sub665	19.0	17.351799011230472
sub287	23.0	22.135448455810547
sub2586	21.0	27.383867263793945
sub385	53.75	56.7257080078125
sub1748	34.0	41.94973754882813
sub2008	21.0	21.72983932495117
sub1187	27.0	32.249034881591804
sub1570	31.0	30.288761138916016
sub1628	19.0	26.292144775390625
sub2975	59.38000106811523	59.34107208251953
sub2639	32.630001068115234	34.39645767211914
sub1168	21.0	33.766918182373054
sub2715	25.0	29.43424987792969
sub13	18.0	24.98270606994629
sub1907	21.0	22.697599411010746
sub16	40.0	34.46639633178711
sub1062	45.0	50.211509704589844
sub1972	47.0	42.59186553955078
sub1137	27.0	26.11581611633301
sub2206	48.0	49.38530349731445
sub1318	30.0	24.780193328857425
sub3207	20.0	19.91275787353516
sub1592	25.0	24.2882137298584
sub2839	19.0	25.024009704589844
sub959	22.0	25.15326690673828
sub323	22.0	31.44489669799805
sub536	38.0	33.92010498046875
sub37	20.0	25.67862701416016
sub40	30.0	25.23725891113281
sub659	23.0	20.92661666870117
sub1802	36.0	34.100204467773445
sub507	75.81999969482422	67.05532073974611
sub3137	20.0	21.41697883605957
sub2537	24.0	27.103185653686523
sub3075	66.91000366210939	73.71680450439453
sub1579	25.0	32.42047882080078
sub968	23.0	27.54292869567871
sub1154	52.5	61.87159729003906
sub783	25.0	29.53134155273437
sub2404	18.0	20.399738311767575
sub2547	45.0	46.53013610839844
sub1224	42.9900016784668	49.9293098449707
sub1462	25.0	26.044448852539066
sub1304	48.68000030517578	40.48860549926758
sub422	61.0	59.75213623046875
sub1720	19.0	25.3465576171875
sub1559	90.0	72.42567443847656
sub2573	31.0	31.636363983154297
sub61	24.0	24.400562286376953
sub1959	19.0	24.73528861999512
sub1413	29.0	34.91241455078125
sub981	25.0	26.94963264465332
sub1780	32.0	28.795982360839844
sub2995	46.29999923706055	42.4579963684082
sub2062	23.0	19.708303451538086
sub3063	33.279998779296875	34.066940307617195
sub723	56.0	37.21881866455078
sub3020	30.0	26.86697006225586
sub3040	20.0	25.28132247924805
sub1847	57.0	52.99653244018555
sub3003	33.0	38.8198356628418
sub1077	30.0	28.52973175048828
sub2906	55.11999893188477	62.10784530639648
sub1302	22.0	21.273103713989254
sub63	32.0	25.97016143798828
sub3110	24.0	28.620805740356445
sub1269	30.0	20.779645919799805
sub697	45.77000045776367	51.90315246582031
sub1414	24.0	28.882049560546875
sub495	47.0	38.93419647216797
sub3157	27.0	25.7365779876709
sub482	62.79999923706055	61.35543823242188
sub80	31.0	30.974443435668945
sub270	25.0	24.922935485839844
sub1635	26.0	26.27050018310547
sub2432	23.0	27.69178009033203
sub3206	60.95000076293945	55.67016220092773
sub662	40.0	41.46960830688477
sub2164	46.0	44.30103302001953
sub1423	22.0	20.453224182128906
sub2695	22.0	20.02541732788086
sub640	28.0	22.12094497680664
sub667	70.0	75.96682739257812
sub1072	22.0	25.811281204223636
sub970	24.0	29.02740859985352
sub1257	23.0	19.883907318115234
sub655	51.0	46.44057846069336
sub1652	28.0	26.44226455688477
sub2159	28.0	34.73737335205078
sub1953	22.0	22.589414596557614
sub1246	48.0	53.99482727050781
sub1135	38.0	43.4365119934082
sub509	26.0	27.25862121582031
sub2434	69.29000091552734	57.3057861328125
sub1608	52.29999923706055	42.15376281738281
sub181	70.13999938964844	68.40199279785156
sub2838	23.0	25.434345245361328
sub577	18.0	19.999860763549805
sub120	22.0	23.78446388244629
sub2113	56.43999862670898	69.02924346923828
sub2035	20.0	24.334346771240234
sub1507	19.0	23.54130554199219
sub1898	41.0	38.27627944946289
sub2373	19.0	21.586748123168945
sub557	47.06999969482422	46.29028701782226
sub2660	19.0	21.728899002075195
sub1749	46.0	38.26804733276367
sub3089	28.0	35.06934356689453
sub474	54.0	44.75256729125977
sub3265	52.0	53.64986801147461
sub2644	24.0	31.024938583374023
sub1626	54.0	51.61104202270508
sub2011	68.0	57.37274169921875
sub2244	29.36000061035156	33.12411880493164
sub3073	22.0	25.45798301696777
sub1397	36.15999984741211	39.7324333190918
sub1274	36.0	27.224895477294922
sub2339	31.0	24.385093688964844
sub1167	89.0	78.50936889648438
sub3298	53.540000915527344	47.11346054077149
sub1038	25.0	26.876422882080078
sub727	47.0	46.43144989013672
sub450	50.0	65.40009307861328
sub743	22.0	22.47821617126465
sub1231	58.38000106811523	50.21294021606445
sub664	63.0	56.76404571533203
sub1455	37.95000076293945	45.25762939453125
