participant_id	true_age	predicted_age
sub2717	55.0	60.8295841217041
sub1075	25.0	23.979907989501953
sub1078	35.0	27.94414520263672
sub1117	22.0	27.13153839111328
sub2353	41.0	40.11837768554688
sub1174	34.0	30.862995147705078
sub2517	22.0	18.64090156555176
sub42	41.75	37.895851135253906
sub2772	40.0	46.63639831542969
sub2912	24.0	26.38055229187012
sub538	46.709999084472656	48.49587059020996
sub626	36.41999816894531	29.85686492919922
sub3254	25.0	22.73801040649414
sub3115	23.0	21.107702255249023
sub2833	49.0	50.83308029174805
sub1993	21.0	34.62140655517578
sub1574	31.899999618530273	33.316360473632805
sub1016	24.63520050048828	36.579681396484375
sub767	22.0	21.099205017089844
sub3097	25.0	19.3223819732666
sub1607	18.0	20.58083724975586
sub2867	42.0	38.08489990234375
sub3145	54.65999984741211	54.05971908569336
sub3039	31.57999992370605	30.811996459960934
sub629	26.0	33.174304962158196
sub3032	60.97000122070313	60.92904281616211
sub2415	56.0	59.5693359375
sub3111	19.0	17.496400833129886
sub615	28.0	29.556385040283203
sub2885	27.0	35.7894172668457
sub188	55.599998474121094	50.60298538208008
sub514	26.0	31.038448333740234
sub118	25.0	27.12968444824219
sub3100	29.0	26.435827255249023
sub816	24.0	25.85307693481445
sub2104	33.59000015258789	29.965103149414066
sub1444	47.72000122070313	56.81697463989258
sub1464	31.0	28.17188835144043
sub1145	23.0	28.10538482666016
sub1662	23.0	25.821430206298828
sub3161	23.0	20.108795166015625
sub1503	67.76999664306639	65.08062553405762
sub2920	28.239999771118164	31.14431190490723
sub2172	44.0	44.15103721618652
sub2908	61.1500015258789	60.28142547607422
sub1571	55.58000183105469	57.814701080322266
sub3232	22.0	23.10600662231445
sub1317	71.0	65.4428939819336
sub144	29.0	28.175912857055664
sub2282	34.0	30.96603775024414
sub1940	57.0	57.06730079650879
sub1496	21.0	21.682907104492188
sub836	31.0	37.68098449707031
sub444	19.0	28.0383358001709
sub2213	24.3799991607666	23.74552154541016
sub1006	21.0	22.325300216674805
sub2260	78.0	79.64432144165039
sub1689	59.0	50.64815902709961
sub2033	60.599998474121094	58.83504104614258
sub2028	55.0	52.79086875915527
sub274	25.0	23.643653869628906
sub1601	22.0	26.691059112548828
sub448	28.0	27.453527450561523
sub1210	35.0	33.422420501708984
sub77	65.0	65.84000015258789
sub8	18.0	23.123798370361328
sub2433	41.0	35.323429107666016
sub2979	90.0	75.94203567504883
sub994	24.0	30.045146942138672
sub242	54.0	54.31169319152832
sub2463	54.0	40.17145156860352
sub3011	71.0	61.000885009765625
sub2190	23.0	23.290754318237305
sub668	22.0	33.057418823242195
sub375	23.0	31.01347923278809
sub1270	19.0	21.429561614990234
sub2555	28.0	29.434932708740234
sub2668	29.0	27.022350311279297
sub2375	29.0	31.298118591308594
sub1996	24.0	20.85981750488281
sub1851	23.0	21.22329330444336
sub719	27.0	34.521026611328125
sub1625	82.0	66.25740623474121
sub2265	57.86000061035156	61.23714637756347
sub1321	25.0	24.71977615356445
sub665	19.0	17.351799011230472
sub287	23.0	22.135448455810547
sub2586	21.0	27.383867263793945
sub385	53.75	53.94985771179199
sub1748	34.0	41.94973754882813
sub2008	21.0	21.72983932495117
sub1187	27.0	32.249034881591804
sub1570	31.0	30.288761138916016
sub1628	19.0	26.292144775390625
sub2975	59.38000106811523	58.453651428222656
sub2639	32.630001068115234	34.39645767211914
sub1168	21.0	33.766918182373054
sub2715	25.0	29.43424987792969
sub13	18.0	24.98270606994629
sub1907	21.0	22.697599411010746
sub16	40.0	34.46639633178711
sub1062	45.0	50.228044509887695
sub1972	47.0	46.20160484313965
sub1137	27.0	26.11581611633301
sub2206	48.0	53.67936897277832
sub1318	30.0	24.780193328857425
sub3207	20.0	19.91275787353516
sub1592	25.0	24.2882137298584
sub2839	19.0	25.024009704589844
sub959	22.0	25.15326690673828
sub323	22.0	31.44489669799805
sub536	38.0	33.92010498046875
sub37	20.0	25.67862701416016
sub40	30.0	25.23725891113281
sub659	23.0	20.92661666870117
sub1802	36.0	34.100204467773445
sub507	75.81999969482422	74.03557586669922
sub3137	20.0	21.41697883605957
sub2537	24.0	27.103185653686523
sub3075	66.91000366210939	69.60095596313477
sub1579	25.0	32.42047882080078
sub968	23.0	27.54292869567871
sub1154	52.5	60.41925621032715
sub783	25.0	29.53134155273437
sub2404	18.0	20.399738311767575
sub2547	45.0	45.39912796020508
sub1224	42.9900016784668	49.37437057495117
sub1462	25.0	26.044448852539066
sub1304	48.68000030517578	40.48860549926758
sub422	61.0	56.029319763183594
sub1720	19.0	25.3465576171875
sub1559	90.0	83.06747436523438
sub2573	31.0	31.636363983154297
sub61	24.0	24.400562286376953
sub1959	19.0	24.73528861999512
sub1413	29.0	34.91241455078125
sub981	25.0	26.94963264465332
sub1780	32.0	28.795982360839844
sub2995	46.29999923706055	45.376121520996094
sub2062	23.0	19.708303451538086
sub3063	33.279998779296875	34.066940307617195
sub723	56.0	37.21881866455078
sub3020	30.0	26.86697006225586
sub3040	20.0	25.28132247924805
sub1847	57.0	54.51811981201172
sub3003	33.0	38.8198356628418
sub1077	30.0	28.52973175048828
sub2906	55.11999893188477	58.869516372680664
sub1302	22.0	21.273103713989254
sub63	32.0	25.97016143798828
sub3110	24.0	28.620805740356445
sub1269	30.0	20.779645919799805
sub697	45.77000045776367	52.19747543334961
sub1414	24.0	28.882049560546875
sub495	47.0	38.93419647216797
sub3157	27.0	25.7365779876709
