subject_ID	age	score_scaleQuant
sub10	25	34
sub100	81	77
sub1000	59.51	46
sub1011	32.42	39
sub1018	19	20
sub1021	17	21
sub1032	39	30
sub1034	34	44.9703125
sub1037	22	28
sub1046	23	23
sub1051	50	57
sub1054	31.81	28
sub1065	70.56	70.03673828125
sub1074	31	33.623984375
sub1076	21	22
sub1080	18	24.2103869666146
sub1083	34.24	40
sub1086	57	61
sub1097	90	85.552109375
sub1098	21	26
sub1101	41.9	38
sub1103	74	57
sub1112	26	24
sub1113	20	21
sub1114	23	23.6944935546875
sub1120	20	24.2103869666146
sub1121	19	19
sub1123	47	32.69115234375
sub1125	31	30
sub1127	30.69	41
sub1133	35	24.2103869666146
sub115	58	51
sub1157	23	24
sub1170	48	36.1353043315456
sub1175	73	73
sub1189	25	27
sub1194	34	43
sub1206	74	69.40453125
sub1209	23	30
sub1212	33	28.49072265625
sub1215	23	19
sub1220	24	23
sub1221	55	55.161015625
sub1226	61.34	59
sub1242	60.84	64.3244921875
sub125	43	40
sub1255	36.71	27
sub1260	22	21
sub1273	72	69
sub1278	22	20
sub1280	24	20
sub1286	21	21
sub1288	25	25
sub130	23	21
sub1300	30.42	24
sub1305	29.74	31
sub1307	49	42
sub1311	26	22
sub132	55	51
sub1323	42	43
sub1327	20	22
sub1328	44	24.2103869666146
sub1331	23.499	30
sub1332	19	22
sub1335	20	26
sub1348	31	35.0631640625
sub1362	49	55
sub1364	25	25
sub1365	35	28
sub1374	24	23
sub1375	55.17	67.5846875
sub138	44	48.0509765625
sub1389	53	47
sub140	70.95	80
sub1404	34	34.281015625
sub1407	26	24
sub1412	35	29
sub1417	19	22
sub1424	37	52.5019921875
sub1429	24	24.2103869666146
sub1432	54	49
sub1438	23	28.2699609375
sub1440	64.66	62.857421875
sub1443	68.12	63.673359375
sub1451	23	19
sub1453	55	45.74251953125
sub1458	24	19
sub1459	22	19
sub1466	55	42
sub1467	78.07	72.37296875
sub1468	23	31
sub1470	68.48	72.0096875
sub1471	30	33
sub1478	52	53
sub1497	29	24
sub150	21	23
sub1515	20	21
sub1526	46.43	56
sub1533	56	50
sub1544	26	22
sub1557	19	19
sub1558	63.18	61.580625
sub156	26	30
sub1562	46	49
sub157	22	20
sub1575	20	27
sub1588	71	59
sub1595	48	41.2352734375
sub1597	24	28
sub1600	54	58
sub1606	25	26
sub1609	35	26
sub1616	20	26
sub163	37	28
sub1646	18	19
sub1648	26	42
sub1668	36	43
sub1670	19	25
sub1684	31.46	36
sub1687	33.08	28.829375
sub1693	50.65	54.390859375
sub1695	19	19
sub1701	25	21
sub1705	69.55	75.4817578125
sub1719	20.17	31.1681640625
sub1725	45	45
sub1741	30	22.414375
sub1742	49	39.79375
sub1747	50	33
sub175	19	22
sub1751	25	19
sub1754	30	35
sub1756	50	52
sub1757	42	50.85806640625
sub1765	33	35
sub1767	18	22
sub177	41	30
sub1772	54.21	58.04375
sub178	22	20
sub1783	21	20
sub1801	26.27	39
sub1803	82.19	78.6267578125
sub1808	41.95	40
sub1813	27	23
sub1821	22	29
sub1822	40	45
sub1826	46	25
sub1839	22	18
sub184	25	22
sub1841	27	31
sub1861	25	22
sub1868	52	41
sub1881	19.96	25
sub1885	47	43
sub1917	25	20
sub1918	55	54
sub192	30	22
sub1920	30	24
sub1921	23	29.7726171875
sub1924	21	19
sub1925	33.35	46
sub193	19	24.2103869666146
sub1933	38	51
sub1936	27	30
sub195	21	19
sub1950	19	25
sub1952	54	48
sub1963	29	25
sub1969	23	23
sub1970	19	22
sub1978	36	22
sub1980	31	25
sub2001	23	27
sub2002	33.92	31
sub2013	31.13	43
sub2016	58	58.38037109375
sub2017	21.9357	24
sub2024	26	28
sub2031	26	29
sub2041	25	34
sub2042	35	31
sub2053	18	20
sub2067	51	45
sub2069	24	23
sub207	21.3	26
sub2076	26	27
sub208	54	42
sub2080	23	27
sub2082	53	46.089375
sub2087	56.68	53
sub2090	24.9	29
sub2096	42	29
sub210	49	47
sub2109	23.96	28
sub2117	33	30
sub2120	31	33
sub2130	74.01	90
sub2131	31	29
sub214	25	34
sub2140	40	32
sub2149	46.22	44
sub215	22	23
sub2150	21	23
sub2151	23	22
sub2168	41	30
sub218	68.47	67
sub2180	23	20
sub2194	28	28
sub2199	29.95	24.4719921875
sub22	26	32
sub2201	37.1	37.7116015625
sub2208	25	25
sub2210	44	40.2448046875
sub2215	31	24
sub2217	23	18
sub2221	32	26.796796875
sub2230	19	29
sub2233	21	20
sub2237	24	28
sub224	60.02	59.7158203125
sub2241	34	33
sub2242	74	81.4921875
sub2245	21	21
sub2255	20	24
sub2261	70	70.63169921875
sub2269	62.06	70.190703125
sub2276	25	26
sub2277	59	52
sub2283	60.54	59.88453125
sub2287	28	26
sub230	31	30
sub2305	18	22
sub2306	25	22
sub2308	23.04	26
sub2309	47	51.088359375
sub2315	30	29
sub2318	33.82	33
sub2323	21	23
sub2326	19	20
sub2327	22	23
sub2328	72.88	74.6014453125
sub2331	36	33.95734375
sub2332	30	22
sub2348	63	57.790390625
sub235	21	20
sub2350	23	27
sub2354	26	24.2103869666146
sub2357	27	23
sub2358	19	19
sub2365	59	52
sub2374	24	22
sub2377	69.28	74
sub2386	24	26
sub2391	22	23
sub2399	27	21
sub24	65	65.587734375
sub2406	47	48
sub2407	40	36
sub2413	45	38
sub2417	29.66	36
sub2418	18	20
sub2419	22	22
sub2420	22	25
sub247	27	30
sub2474	46	25
sub2480	29	21
sub2496	20	24
sub2503	34	25
sub2516	41	32
sub2526	56.87	52
sub2532	51	37
sub2536	41.3	44
sub254	58	47
sub2558	24	23
sub256	31.37	38
sub2560	40	56
sub2561	64	66.33
sub2562	43.92	30.666640625
sub2565	44	41.725390625
sub2568	18	24
sub2581	42	41
sub2588	21	22
sub259	28	33.248515625
sub2592	28	28
sub2597	22	22.644765625
sub2611	29	27
sub2618	43.16	41
sub2619	60.1	62
sub2620	54	59
sub2623	23	21.0252734375
sub2632	21	22
sub2634	55.22	66.90064453125
sub2646	25.19	21
sub2650	37	24.85
sub2653	28	23
sub2664	20	21
sub2666	23	24
sub2672	33	29
sub2676	18	20
sub2677	32	37
sub2685	23	23
sub2691	36.92	33
sub2705	20	19
sub2706	25	25.7348859457225
sub2707	20	21
sub2713	44	50
sub2720	22	23
sub2724	57.74	64
sub2726	28	27
sub2742	19	19
sub2745	31.59	40
sub2750	60	47.5393359375
sub2753	41.06	47
sub2755	75.94	71
sub2763	26.64	24.2255078125
sub2771	25	20.92203125
sub2779	53	50
sub2780	25	30.074296875
sub2783	43	45
sub279	29	27.8265234375
sub2793	58.99	62.4348046875
sub2796	28	24
sub28	24.76	21
sub2800	56	51
sub2803	25	25
sub2806	24	22
sub2809	20	24
sub281	19	21
sub2810	24	24
sub2812	52	63.06484375
sub2821	51.66	57
sub2847	69.72	73.305859375
sub285	59	63.95154296875
sub2852	22	27
sub2857	31	24.2103869666146
sub2858	24	22
sub2862	24	25.3672265625
sub2880	66	67.83716796875
sub2882	41.74	49.3830859375
sub2883	53	52
sub2884	22	18
sub2894	26	25
sub2899	65	63.39541015625
sub29	47	39.0105859375
sub2903	44.88	44
sub2904	33	50
sub2922	28.35	23
sub2923	23	18
sub2929	33	24.2103869666146
sub2931	34.48	38.78236328125
sub2936	27	25.69779296875
sub2944	27.71	23
sub2947	21	19
sub2955	45	50
sub2958	22	22
sub296	22	20
sub2966	35	29
sub2984	26	20
sub2990	28	20
sub3004	41	27
sub3024	31	35.80990234375
sub3027	29	22
sub3033	19	28
sub3036	57.21	58.7812890625
sub3048	23	21
sub3050	23	30
sub3055	55	55
sub3058	50	43.8075390625
sub3069	36	53
sub3092	34	25
sub3108	20	24.63270625
sub3117	31	32
sub3118	26	23
sub3127	28	23
sub3129	18	24.2103869666146
sub3130	18	20.03322265625
sub3132	32	35
sub3135	23	26.5224609375
sub3138	39.18	46
sub3150	21	26
sub3169	88	64
sub3183	59	56.378125
sub3186	54.49	60.6
sub3201	64	44
sub3203	22	37.0363671875
sub3224	84	83.5219140625
sub3236	18	23
sub3241	27	31
sub3243	19	25.7348859457225
sub3250	27	25
sub3252	20	23
sub3258	21	24
sub326	52	56
sub3297	22	20
sub3299	49	59.24546875
sub332	62.68	65.98294921875
sub333	29	21
sub336	29	37
sub340	22	18
sub344	34	48.726875
sub351	41	44.2840625
sub357	19	18
sub364	29	26
sub398	54	54
sub403	23	22
sub406	31	30
sub411	43	58
sub412	75.97	71
sub421	22	21
sub424	54	46.58623046875
sub425	30	33
sub429	47	45.27921875
sub432	28	25
sub433	31	24
sub44	23.62	24
sub441	22	21
sub446	22	19
sub449	28	24
sub452	30	28
sub454	30.44	27
sub458	42	43
sub461	53	58
sub468	21	20
sub47	21	22
sub470	32	25
sub471	73.6	76.445859375
sub472	43	39
sub48	21	29
sub484	20	21
sub486	39	40
sub497	21.15	32
sub50	30.14	27.1458203125
sub502	25	24
sub520	64.75	69.14201171875
sub525	23	23
sub527	24	21
sub528	28	29.2626953125
sub539	81.94	86.304765625
sub544	20	23
sub546	21	23
sub547	24	45
sub554	58.66	65
sub564	30	20
sub569	64.47	67.0918359375
sub570	26	23.1775
sub58	47	53.41
sub587	18	18
sub599	38	31
sub6	33	26
sub602	42.37	54
sub614	47	53.73625
sub62	26	24
sub630	19	20
sub633	43	55
sub634	27	23
sub635	61	60.12625
sub646	58	49.9125
sub650	62.96	60
sub652	27	26
sub657	22	29
sub669	21	19
sub67	31	25
sub676	72	68.44349609375
sub68	18	21
sub682	24.88	24
sub693	22	24.34
sub696	48	47
sub7	22	28
sub704	49	52.91126953125
sub708	55	47
sub718	36.47	36
sub720	30	35
sub729	78.2	80.8984375
sub734	19	20
sub736	25	28
sub74	55	55.5844921875
sub749	31	24
sub751	28	21
sub755	33	46
sub757	24	21
sub761	50	48
sub776	20	18
sub782	48	50
sub785	61	49
sub789	39	25
sub807	69	55
sub812	75	61.0155859375
sub828	60.9	65
sub830	39.38	42.62296875
sub843	26	22
sub849	30.67	35
sub851	19	19
sub857	21	22
sub865	23.49	26
sub866	26.93	31.8654296875
sub876	63.54	56
sub877	19	20
sub880	52	60.931953125
sub882	26	27
sub883	35.45	34
sub887	27	27
sub890	30	22
sub892	22	23
sub896	23	24.2103869666146
sub903	34	36.345
sub906	47	46
sub907	18	21
sub91	52	42
