participant_id	true_age	predicted_age
sub2700	24.0	24.439956665039062
sub864	27.0	29.436307907104492
sub1454	47.0	42.43330383300781
sub2384	32.0	24.381425857543945
sub2186	58.0	52.3491096496582
sub1119	23.0	22.24482536315918
sub2157	58.0	59.97590637207031
sub2733	26.0	27.643003463745117
sub2216	31.0	24.34322738647461
sub1094	22.0	28.77520751953125
sub1384	56.959999084472656	57.51448440551758
sub3180	24.0	25.070650100708008
sub272	53.0	49.838890075683594
sub656	49.0	53.0932731628418
sub1522	29.0	26.499675750732422
sub3226	55.0	43.88752746582031
sub2686	47.0	36.12501907348633
sub678	63.869998931884766	61.07904815673828
sub1494	37.0	36.7579231262207
sub2254	52.0	39.21885681152344
sub504	25.0	21.393144607543945
sub1039	21.0	24.141387939453125
sub386	25.0	26.816165924072266
sub2429	31.0	35.10996627807617
sub1457	24.0	29.150705337524414
sub2128	29.0	24.628616333007812
sub888	22.0	24.363784790039062
sub3066	59.88999938964844	65.35235595703125
sub1239	33.0	23.720327377319336
sub686	24.0	22.399185180664062
sub874	26.0	23.13949203491211
sub2709	40.0	43.11019515991211
sub3273	24.0	19.688800811767578
sub2482	67.0	54.903564453125
sub2788	21.0	21.53649139404297
sub2822	43.0	38.825469970703125
sub1818	26.0	32.98316192626953
sub488	68.12999725341797	63.222652435302734
sub638	21.0	22.574081420898438
sub3264	23.0	22.214452743530273
sub1968	54.0	33.721702575683594
sub1056	25.93000030517578	30.354576110839844
sub2298	57.0	59.03995132446289
sub376	28.3700008392334	32.356422424316406
sub545	21.0	25.17011260986328
sub732	31.0	27.739194869995117
sub5	48.0	41.42369079589844
sub581	41.099998474121094	32.47614288330078
sub1832	73.0	70.2392578125
sub1446	21.0	24.777481079101562
sub2502	58.790000915527344	59.17112731933594
sub3278	34.0	32.870574951171875
sub623	43.0	56.53467559814453
sub2834	20.0	21.881622314453125
sub460	25.0	22.703516006469727
sub2356	43.0	40.50040817260742
sub3101	26.0	26.83682632446289
sub2293	55.0	45.303985595703125
sub2025	47.349998474121094	50.15095138549805
sub33	80.16999816894531	81.79312896728516
sub2207	44.0	46.29642868041992
sub673	25.0	24.560855865478516
sub982	38.0	46.41720962524414
sub82	33.0	36.03662109375
sub2169	24.0	21.45476722717285
sub70	64.0	59.18198013305664
sub2063	35.0	39.15632629394531
sub447	57.0	58.42665481567383
sub2223	58.0	51.248172760009766
sub1759	42.0	28.03692626953125
sub3197	23.0	23.82164192199707
sub1510	21.0	21.969322204589844
sub1560	20.0	21.089136123657227
sub2735	21.0	20.752201080322266
sub2137	27.0	25.917024612426758
sub1586	28.0	24.561887741088867
sub2804	20.90999984741211	29.177188873291016
sub1199	25.579999923706055	26.188587188720703
sub255	20.700000762939453	22.776182174682617
sub1134	23.0	34.86056900024414
sub2911	23.0	23.431514739990234
sub2246	23.0	23.413249969482422
sub2461	38.22999954223633	42.96849060058594
sub1858	21.0	23.31294059753418
sub1320	54.0	56.69468307495117
sub1149	38.0	35.609703063964844
sub1883	22.0	20.616111755371094
sub1991	49.0	39.81364059448242
sub2828	32.0	25.02301025390625
sub575	18.0	20.61210060119629
sub288	43.0	42.46494674682617
sub2642	20.0	25.874210357666016
sub3043	23.0	21.319026947021484
sub499	21.0	20.04490852355957
sub2953	23.0	24.609731674194336
sub2440	26.0	24.634952545166016
sub3182	21.0	23.6927433013916
sub1814	26.0	27.507068634033203
sub3290	58.0	53.55677032470703
sub3095	46.0	41.11616516113281
sub2395	51.0	50.701515197753906
sub1844	45.0	32.513206481933594
sub1659	23.0	22.949237823486328
sub540	32.0	24.99353790283203
sub680	43.0	37.165687561035156
sub917	60.0	62.63890075683594
sub2815	25.020000457763672	24.448680877685547
sub2167	25.0	25.38252067565918
sub2567	38.0	48.29192352294922
sub2101	27.0	21.03569984436035
sub1118	45.0	35.63776779174805
sub1227	46.0	53.53528594970703
sub936	68.0	59.04432678222656
sub2606	66.94999694824219	73.32939147949219
sub701	19.0	22.609590530395508
sub565	19.0	22.576854705810547
sub2107	26.0	33.60081481933594
sub916	25.0	31.650524139404297
sub1632	23.0	25.89203643798828
sub2556	48.54999923706055	56.07217788696289
sub1602	22.0	24.031822204589844
sub1778	63.38999938964844	64.59680938720703
sub319	53.0	56.0482063293457
sub2389	80.83999633789062	63.135292053222656
sub2851	25.0	26.872127532958984
sub3121	25.0	32.74554443359375
sub1886	23.0	19.123363494873047
sub2021	23.0	28.33427619934082
sub1932	45.86000061035156	45.845401763916016
sub584	44.0	49.64509963989258
sub216	51.0	44.57395553588867
sub1655	28.479999542236328	27.557170867919922
sub2165	26.0	32.73207473754883
sub3247	32.939998626708984	48.162349700927734
sub1610	66.37000274658203	55.27599334716797
sub2088	38.0	30.50057029724121
sub219	53.0	51.47658920288086
sub2310	21.0	20.878093719482422
sub1055	55.09000015258789	59.95064163208008
sub2079	65.0	56.0107421875
sub1988	81.0	74.64717864990234
sub2932	61.0	49.56122970581055
sub419	21.0	23.77924346923828
sub862	25.0	23.246257781982422
sub2018	26.0	29.639619827270508
sub597	31.0	30.36036491394043
sub2314	44.0	45.01618576049805
sub2403	20.0	21.750211715698242
sub2202	72.83000183105469	74.0301284790039
sub855	60.91999816894531	58.67747497558594
sub3295	24.34000015258789	26.366168975830078
sub2494	44.0	40.864540100097656
sub1577	22.0	23.91613006591797
sub1277	21.0	22.608745574951172
sub590	21.0	19.742115020751953
sub897	38.0	44.871604919433594
sub3057	44.0	42.65618133544922
sub717	19.0	24.87675666809082
sub1421	25.0	22.416709899902344
sub328	37.0	42.831939697265625
sub1787	29.0	23.6708984375
sub2842	23.0	21.859649658203125
sub661	27.0	24.02196502685547
sub1872	18.0	21.4960994720459
sub2	19.0	19.869625091552734
sub2479	20.0	22.557424545288086
sub3184	43.0	43.63014221191406
sub925	45.0	51.965187072753906
sub2574	29.0	27.109806060791016
sub221	20.0	22.409488677978516
sub526	33.0	30.14849090576172
sub1690	23.0	22.850109100341797
sub2749	42.970001220703125	49.14544677734375
sub1740	23.0	20.662899017333984
sub76	25.459999084472656	29.242870330810547
sub881	38.0	46.18614196777344
sub3142	58.0	52.73851776123047
sub2203	40.0	32.1890754699707
sub1012	49.02000045776367	50.06593704223633
sub2240	29.0	27.46280860900879
sub1593	59.0	54.6702766418457
sub2465	67.7699966430664	67.40737915039062
sub561	25.0	23.21065330505371
sub2398	47.0	37.35478591918945
sub246	30.0	24.24209976196289
sub2295	27.0	27.086227416992188
sub2027	53.33000183105469	48.92078399658203
sub3220	30.0	29.885129928588867
sub124	37.77000045776367	36.56632614135742
sub801	55.0	53.29875946044922
sub1031	59.150001525878906	60.379032135009766
sub2248	85.0	74.02947235107422
sub2665	28.0	50.436946868896484
sub519	54.0	57.203392028808594
sub2596	45.70000076293945	51.28769302368164
sub1979	20.0	20.528738021850586
sub2436	22.0	23.218107223510742
sub3046	24.0	30.354116439819336
sub2636	22.0	24.137510299682617
sub2144	46.0	45.776607513427734
sub2051	20.0	20.30681610107422
sub102	24.0	27.639127731323242
sub1776	50.0	50.924713134765625
sub2089	56.0	57.42827606201172
sub2388	24.3700008392334	24.60454559326172
sub2890	40.810001373291016	45.57811737060547
sub1838	25.0	22.5054931640625
sub2280	24.0	22.837112426757812
sub1445	37.0	31.395822525024414
sub1329	22.0	22.607563018798828
sub2902	20.0	21.3627872467041
sub261	24.0	18.94590187072754
sub2258	53.40999984741211	53.8864631652832
sub1207	24.0	27.055240631103516
sub2355	70.0	70.74366760253906
sub3	24.0	22.188844680786133
sub3221	26.0	26.800434112548828
sub1621	38.0	42.73573684692383
sub3275	35.0	26.041683197021484
sub978	21.0	20.16341209411621
sub1713	37.0	45.2083625793457
sub1806	21.0	20.745914459228516
sub585	26.0	23.199352264404297
sub1259	48.0	42.875694274902344
sub2466	54.689998626708984	55.36116409301758
